===== [2026年 08月 27日 星期四 15:17:14 CST] baseline 开始 =====
[2026-08-27 15:17:21,269][numexpr.utils][INFO] - Note: NumExpr detected 48 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 16.
[2026-08-27 15:17:21,269][numexpr.utils][INFO] - NumExpr defaulting to 16 threads.
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
 Loading weights:   0%|          | 0/617 [00:00<?, ?it/s] Loading weights:  38%|███▊      | 233/617 [00:00<00:00, 2328.51it/s] Loading weights:  78%|███████▊  | 483/617 [00:00<00:00, 2426.21it/s] Loading weights: 100%|██████████| 617/617 [00:00<00:00, 2587.05it/s]
[2026-08-27 15:17:28,397][httpx][INFO] - HTTP Request: HEAD https://hf-mirror.com/datasets/lmms-lab-encoder/MMBench/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
[2026-08-27 15:17:28,562][httpx][INFO] - HTTP Request: HEAD https://hf-mirror.com/api/resolve-cache/datasets/lmms-lab-encoder/MMBench/56ba1af8954932c4804bd3f522e05ed96e63b654/README.md "HTTP/1.1 200 OK"
[2026-08-27 15:17:28,877][httpx][INFO] - HTTP Request: HEAD https://hf-mirror.com/datasets/lmms-lab-encoder/MMBench/resolve/56ba1af8954932c4804bd3f522e05ed96e63b654/MMBench.py "HTTP/1.1 404 Not Found"
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[2026-08-27 15:17:28,878][huggingface_hub.utils._http][WARNING] - Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[2026-08-27 15:17:29,650][httpx][INFO] - HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/lmms-lab-encoder/MMBench/lmms-lab-encoder/MMBench.py "HTTP/1.1 404 Not Found"
[2026-08-27 15:17:30,990][httpx][INFO] - HTTP Request: GET https://hf-mirror.com/api/datasets/lmms-lab-encoder/MMBench/revision/56ba1af8954932c4804bd3f522e05ed96e63b654 "HTTP/1.1 200 OK"
[2026-08-27 15:17:31,254][httpx][INFO] - HTTP Request: HEAD https://hf-mirror.com/datasets/lmms-lab-encoder/MMBench/resolve/56ba1af8954932c4804bd3f522e05ed96e63b654/.huggingface.yaml "HTTP/1.1 404 Not Found"
[2026-08-27 15:17:32,515][httpx][INFO] - HTTP Request: GET https://hf-mirror.com/api/datasets/lmms-lab-encoder/MMBench/tree/56ba1af8954932c4804bd3f522e05ed96e63b654/cc?recursive=true&expand=false "HTTP/1.1 200 OK"
[2026-08-27 15:17:32,931][httpx][INFO] - HTTP Request: GET https://hf-mirror.com/api/datasets/lmms-lab-encoder/MMBench/tree/56ba1af8954932c4804bd3f522e05ed96e63b654?recursive=false&expand=false "HTTP/1.1 200 OK"
[2026-08-27 15:17:33,502][httpx][INFO] - HTTP Request: HEAD https://hf-mirror.com/datasets/lmms-lab-encoder/MMBench/resolve/56ba1af8954932c4804bd3f522e05ed96e63b654/dataset_infos.json "HTTP/1.1 404 Not Found"
[2026-08-27 15:17:33,891][httpx][INFO] - HTTP Request: GET https://hf-mirror.com/api/datasets/lmms-lab-encoder/MMBench/tree/56ba1af8954932c4804bd3f522e05ed96e63b654/cn?recursive=true&expand=false "HTTP/1.1 200 OK"
Model: /home/jxy/TTL/Qwen3.5-2B
Strategy: none (online.enabled=False), backend=hf, enable_thinking=False
Dataset: lmms-lab-encoder/MMBench cn dev, n=4329
[2026-08-27 17:06:33,322][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2250 path=outputs/online_tta/online_tta_adapters/tta_v2250
[2026-08-27 17:06:35,073][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2251 path=outputs/online_tta/online_tta_adapters/tta_v2251
[2026-08-27 17:06:36,823][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2252 path=outputs/online_tta/online_tta_adapters/tta_v2252
[2026-08-27 17:06:38,538][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2253 path=outputs/online_tta/online_tta_adapters/tta_v2253
[2026-08-27 17:06:40,186][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2254 path=outputs/online_tta/online_tta_adapters/tta_v2254
[2026-08-27 17:06:41,830][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2255 path=outputs/online_tta/online_tta_adapters/tta_v2255
[2026-08-27 17:06:43,486][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2256 path=outputs/online_tta/online_tta_adapters/tta_v2256
[2026-08-27 17:06:45,195][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2257 path=outputs/online_tta/online_tta_adapters/tta_v2257
[2026-08-27 17:06:46,857][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2258 path=outputs/online_tta/online_tta_adapters/tta_v2258
[2026-08-27 17:06:48,549][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2259 path=outputs/online_tta/online_tta_adapters/tta_v2259
[2026-08-27 17:06:50,243][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2260 path=outputs/online_tta/online_tta_adapters/tta_v2260
[2260/4329] acc=0.4942 pred=D gold=A loss=3.097035914834123e-06 (1.7s/sample)
[2026-08-27 17:06:52,027][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2261 path=outputs/online_tta/online_tta_adapters/tta_v2261
[2026-08-27 17:06:53,820][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2262 path=outputs/online_tta/online_tta_adapters/tta_v2262
[2026-08-27 17:06:55,516][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2263 path=outputs/online_tta/online_tta_adapters/tta_v2263
[2026-08-27 17:06:57,246][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2264 path=outputs/online_tta/online_tta_adapters/tta_v2264
[2026-08-27 17:06:59,049][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2265 path=outputs/online_tta/online_tta_adapters/tta_v2265
[2026-08-27 17:07:00,791][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2266 path=outputs/online_tta/online_tta_adapters/tta_v2266
[2026-08-27 17:07:02,504][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2267 path=outputs/online_tta/online_tta_adapters/tta_v2267
[2026-08-27 17:07:04,220][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2268 path=outputs/online_tta/online_tta_adapters/tta_v2268
[2026-08-27 17:07:05,925][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2269 path=outputs/online_tta/online_tta_adapters/tta_v2269
[2026-08-27 17:07:07,775][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2270 path=outputs/online_tta/online_tta_adapters/tta_v2270
[2026-08-27 17:07:09,574][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2271 path=outputs/online_tta/online_tta_adapters/tta_v2271
[2026-08-27 17:07:11,441][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2272 path=outputs/online_tta/online_tta_adapters/tta_v2272
[2026-08-27 17:07:13,327][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2273 path=outputs/online_tta/online_tta_adapters/tta_v2273
[2026-08-27 17:07:15,142][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2274 path=outputs/online_tta/online_tta_adapters/tta_v2274
[2026-08-27 17:07:16,963][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2275 path=outputs/online_tta/online_tta_adapters/tta_v2275
[2026-08-27 17:07:18,815][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2276 path=outputs/online_tta/online_tta_adapters/tta_v2276
[2026-08-27 17:07:20,658][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2277 path=outputs/online_tta/online_tta_adapters/tta_v2277
[2026-08-27 17:07:22,494][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2278 path=outputs/online_tta/online_tta_adapters/tta_v2278
[2026-08-27 17:07:24,311][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2279 path=outputs/online_tta/online_tta_adapters/tta_v2279
[2026-08-27 17:07:26,125][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2280 path=outputs/online_tta/online_tta_adapters/tta_v2280
[2280/4329] acc=0.4921 pred=D gold=A loss=2.948534529423341e-06 (1.7s/sample)
[2026-08-27 17:07:27,874][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2281 path=outputs/online_tta/online_tta_adapters/tta_v2281
[2026-08-27 17:07:29,703][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2282 path=outputs/online_tta/online_tta_adapters/tta_v2282
[2026-08-27 17:07:31,558][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2283 path=outputs/online_tta/online_tta_adapters/tta_v2283
[2026-08-27 17:07:33,451][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2284 path=outputs/online_tta/online_tta_adapters/tta_v2284
[2026-08-27 17:07:35,296][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2285 path=outputs/online_tta/online_tta_adapters/tta_v2285
[2026-08-27 17:07:37,088][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2286 path=outputs/online_tta/online_tta_adapters/tta_v2286
[2026-08-27 17:07:38,845][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2287 path=outputs/online_tta/online_tta_adapters/tta_v2287
[2026-08-27 17:07:40,663][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2288 path=outputs/online_tta/online_tta_adapters/tta_v2288
[2026-08-27 17:07:42,478][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2289 path=outputs/online_tta/online_tta_adapters/tta_v2289
[2026-08-27 17:07:44,278][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2290 path=outputs/online_tta/online_tta_adapters/tta_v2290
[2026-08-27 17:07:46,170][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2291 path=outputs/online_tta/online_tta_adapters/tta_v2291
[2026-08-27 17:07:47,982][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2292 path=outputs/online_tta/online_tta_adapters/tta_v2292
[2026-08-27 17:07:49,745][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2293 path=outputs/online_tta/online_tta_adapters/tta_v2293
[2026-08-27 17:07:51,638][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2294 path=outputs/online_tta/online_tta_adapters/tta_v2294
[2026-08-27 17:07:53,528][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2295 path=outputs/online_tta/online_tta_adapters/tta_v2295
[2026-08-27 17:07:55,247][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2296 path=outputs/online_tta/online_tta_adapters/tta_v2296
[2026-08-27 17:07:56,921][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2297 path=outputs/online_tta/online_tta_adapters/tta_v2297
[2026-08-27 17:07:58,496][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2298 path=outputs/online_tta/online_tta_adapters/tta_v2298
[2026-08-27 17:08:00,050][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2299 path=outputs/online_tta/online_tta_adapters/tta_v2299
[2026-08-27 17:08:01,620][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2300 path=outputs/online_tta/online_tta_adapters/tta_v2300
[2300/4329] acc=0.4891 pred=D gold=B loss=4.981309757567942e-06 (1.7s/sample)
[2026-08-27 17:08:03,312][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2301 path=outputs/online_tta/online_tta_adapters/tta_v2301
[2026-08-27 17:08:05,115][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2302 path=outputs/online_tta/online_tta_adapters/tta_v2302
[2026-08-27 17:08:06,807][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2303 path=outputs/online_tta/online_tta_adapters/tta_v2303
[2026-08-27 17:08:08,441][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2304 path=outputs/online_tta/online_tta_adapters/tta_v2304
[2026-08-27 17:08:10,082][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2305 path=outputs/online_tta/online_tta_adapters/tta_v2305
[2026-08-27 17:08:11,647][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2306 path=outputs/online_tta/online_tta_adapters/tta_v2306
[2026-08-27 17:08:13,382][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2307 path=outputs/online_tta/online_tta_adapters/tta_v2307
[2026-08-27 17:08:15,054][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2308 path=outputs/online_tta/online_tta_adapters/tta_v2308
[2026-08-27 17:08:16,645][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2309 path=outputs/online_tta/online_tta_adapters/tta_v2309
[2026-08-27 17:08:18,188][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2310 path=outputs/online_tta/online_tta_adapters/tta_v2310
[2026-08-27 17:08:19,742][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2311 path=outputs/online_tta/online_tta_adapters/tta_v2311
[2026-08-27 17:08:21,393][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2312 path=outputs/online_tta/online_tta_adapters/tta_v2312
[2026-08-27 17:08:22,955][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2313 path=outputs/online_tta/online_tta_adapters/tta_v2313
[2026-08-27 17:08:24,519][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2314 path=outputs/online_tta/online_tta_adapters/tta_v2314
[2026-08-27 17:08:26,078][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2315 path=outputs/online_tta/online_tta_adapters/tta_v2315
[2026-08-27 17:08:27,634][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2316 path=outputs/online_tta/online_tta_adapters/tta_v2316
[2026-08-27 17:08:29,187][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2317 path=outputs/online_tta/online_tta_adapters/tta_v2317
[2026-08-27 17:08:30,747][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2318 path=outputs/online_tta/online_tta_adapters/tta_v2318
[2026-08-27 17:08:32,331][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2319 path=outputs/online_tta/online_tta_adapters/tta_v2319
[2026-08-27 17:08:33,868][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2320 path=outputs/online_tta/online_tta_adapters/tta_v2320
[2320/4329] acc=0.4849 pred=D gold=C loss=4.612313205143437e-06 (1.7s/sample)
[2026-08-27 17:08:35,569][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2321 path=outputs/online_tta/online_tta_adapters/tta_v2321
[2026-08-27 17:08:37,316][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2322 path=outputs/online_tta/online_tta_adapters/tta_v2322
[2026-08-27 17:08:38,936][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2323 path=outputs/online_tta/online_tta_adapters/tta_v2323
[2026-08-27 17:08:40,746][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2324 path=outputs/online_tta/online_tta_adapters/tta_v2324
[2026-08-27 17:08:42,304][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2325 path=outputs/online_tta/online_tta_adapters/tta_v2325
[2026-08-27 17:08:43,872][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2326 path=outputs/online_tta/online_tta_adapters/tta_v2326
[2026-08-27 17:08:45,596][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2327 path=outputs/online_tta/online_tta_adapters/tta_v2327
[2026-08-27 17:08:47,239][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2328 path=outputs/online_tta/online_tta_adapters/tta_v2328
[2026-08-27 17:08:49,066][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2329 path=outputs/online_tta/online_tta_adapters/tta_v2329
[2026-08-27 17:08:50,809][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2330 path=outputs/online_tta/online_tta_adapters/tta_v2330
[2026-08-27 17:08:52,650][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2331 path=outputs/online_tta/online_tta_adapters/tta_v2331
[2026-08-27 17:08:54,351][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2332 path=outputs/online_tta/online_tta_adapters/tta_v2332
[2026-08-27 17:08:55,928][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2333 path=outputs/online_tta/online_tta_adapters/tta_v2333
[2026-08-27 17:08:57,526][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2334 path=outputs/online_tta/online_tta_adapters/tta_v2334
[2026-08-27 17:08:59,091][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2335 path=outputs/online_tta/online_tta_adapters/tta_v2335
[2026-08-27 17:09:00,669][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2336 path=outputs/online_tta/online_tta_adapters/tta_v2336
[2026-08-27 17:09:02,224][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2337 path=outputs/online_tta/online_tta_adapters/tta_v2337
[2026-08-27 17:09:03,776][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2338 path=outputs/online_tta/online_tta_adapters/tta_v2338
[2026-08-27 17:09:05,329][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2339 path=outputs/online_tta/online_tta_adapters/tta_v2339
[2026-08-27 17:09:06,878][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2340 path=outputs/online_tta/online_tta_adapters/tta_v2340
[2340/4329] acc=0.4825 pred=B gold=A loss=4.311313205107581e-06 (1.7s/sample)
[2026-08-27 17:09:08,433][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2341 path=outputs/online_tta/online_tta_adapters/tta_v2341
[2026-08-27 17:09:10,160][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2342 path=outputs/online_tta/online_tta_adapters/tta_v2342
[2026-08-27 17:09:11,788][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2343 path=outputs/online_tta/online_tta_adapters/tta_v2343
[2026-08-27 17:09:13,335][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2344 path=outputs/online_tta/online_tta_adapters/tta_v2344
[2026-08-27 17:09:14,897][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2345 path=outputs/online_tta/online_tta_adapters/tta_v2345
[2026-08-27 17:09:16,466][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2346 path=outputs/online_tta/online_tta_adapters/tta_v2346
[2026-08-27 17:09:18,039][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2347 path=outputs/online_tta/online_tta_adapters/tta_v2347
[2026-08-27 17:09:19,628][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2348 path=outputs/online_tta/online_tta_adapters/tta_v2348
[2026-08-27 17:09:21,189][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2349 path=outputs/online_tta/online_tta_adapters/tta_v2349
[2026-08-27 17:09:22,747][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2350 path=outputs/online_tta/online_tta_adapters/tta_v2350
[2026-08-27 17:09:24,330][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2351 path=outputs/online_tta/online_tta_adapters/tta_v2351
[2026-08-27 17:09:26,005][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2352 path=outputs/online_tta/online_tta_adapters/tta_v2352
[2026-08-27 17:09:27,588][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2353 path=outputs/online_tta/online_tta_adapters/tta_v2353
[2026-08-27 17:09:29,197][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2354 path=outputs/online_tta/online_tta_adapters/tta_v2354
[2026-08-27 17:09:30,910][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2355 path=outputs/online_tta/online_tta_adapters/tta_v2355
[2026-08-27 17:09:32,582][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2356 path=outputs/online_tta/online_tta_adapters/tta_v2356
[2026-08-27 17:09:34,212][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2357 path=outputs/online_tta/online_tta_adapters/tta_v2357
[2026-08-27 17:09:35,875][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2358 path=outputs/online_tta/online_tta_adapters/tta_v2358
[2026-08-27 17:09:37,606][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2359 path=outputs/online_tta/online_tta_adapters/tta_v2359
[2026-08-27 17:09:39,409][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2360 path=outputs/online_tta/online_tta_adapters/tta_v2360
[2360/4329] acc=0.4818 pred=B gold=B loss=3.4100025914085563e-06 (1.7s/sample)
[2026-08-27 17:09:41,095][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2361 path=outputs/online_tta/online_tta_adapters/tta_v2361
[2026-08-27 17:09:42,699][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2362 path=outputs/online_tta/online_tta_adapters/tta_v2362
[2026-08-27 17:09:44,379][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2363 path=outputs/online_tta/online_tta_adapters/tta_v2363
[2026-08-27 17:09:46,053][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2364 path=outputs/online_tta/online_tta_adapters/tta_v2364
[2026-08-27 17:09:47,817][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2365 path=outputs/online_tta/online_tta_adapters/tta_v2365
[2026-08-27 17:09:49,571][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2366 path=outputs/online_tta/online_tta_adapters/tta_v2366
[2026-08-27 17:09:51,347][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2367 path=outputs/online_tta/online_tta_adapters/tta_v2367
[2026-08-27 17:09:53,114][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2368 path=outputs/online_tta/online_tta_adapters/tta_v2368
[2026-08-27 17:09:54,954][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2369 path=outputs/online_tta/online_tta_adapters/tta_v2369
[2026-08-27 17:09:56,445][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2370 path=outputs/online_tta/online_tta_adapters/tta_v2370
[2026-08-27 17:09:58,276][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2371 path=outputs/online_tta/online_tta_adapters/tta_v2371
[2026-08-27 17:09:59,937][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2372 path=outputs/online_tta/online_tta_adapters/tta_v2372
[2026-08-27 17:10:01,656][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2373 path=outputs/online_tta/online_tta_adapters/tta_v2373
[2026-08-27 17:10:03,297][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2374 path=outputs/online_tta/online_tta_adapters/tta_v2374
[2026-08-27 17:10:04,952][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2375 path=outputs/online_tta/online_tta_adapters/tta_v2375
[2026-08-27 17:10:06,782][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2376 path=outputs/online_tta/online_tta_adapters/tta_v2376
[2026-08-27 17:10:08,444][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2377 path=outputs/online_tta/online_tta_adapters/tta_v2377
[2026-08-27 17:10:10,408][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2378 path=outputs/online_tta/online_tta_adapters/tta_v2378
[2026-08-27 17:10:12,084][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2379 path=outputs/online_tta/online_tta_adapters/tta_v2379
[2026-08-27 17:10:13,797][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2380 path=outputs/online_tta/online_tta_adapters/tta_v2380
[2380/4329] acc=0.4790 pred=B gold=C loss=4.84654083265923e-06 (1.7s/sample)
[2026-08-27 17:10:15,439][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2381 path=outputs/online_tta/online_tta_adapters/tta_v2381
[2026-08-27 17:10:17,079][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2382 path=outputs/online_tta/online_tta_adapters/tta_v2382
[2026-08-27 17:10:18,720][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2383 path=outputs/online_tta/online_tta_adapters/tta_v2383
[2026-08-27 17:10:20,357][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2384 path=outputs/online_tta/online_tta_adapters/tta_v2384
[2026-08-27 17:10:21,900][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2385 path=outputs/online_tta/online_tta_adapters/tta_v2385
[2026-08-27 17:10:23,432][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2386 path=outputs/online_tta/online_tta_adapters/tta_v2386
[2026-08-27 17:10:24,972][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2387 path=outputs/online_tta/online_tta_adapters/tta_v2387
[2026-08-27 17:10:26,483][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2388 path=outputs/online_tta/online_tta_adapters/tta_v2388
[2026-08-27 17:10:28,046][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2389 path=outputs/online_tta/online_tta_adapters/tta_v2389
[2026-08-27 17:10:29,577][openttl.online.tta_runner][INFO] - TTA sync LoRA -> SGLang name=tta_v2390 path=outputs/online_tta/online_tta_adapters/tta_v2390
